id,data,date,user_id,sentiment_class
90,I would need to readjust my marketability,2022-03-25 16:59:13,8,Neutral
91,My job applications have been rejected for a third time this week.,2021-10-13 07:28:43,8,Neutral
92,It would ruin my gpa.,2022-04-08 04:53:06,8,Neutral
93,worry ,2022-08-20 14:32:48,8,Neutral
94,I am fond of coworker who i asked to go out with and he/she said s/he was too busy,2022-07-09 00:44:12,8,Neutral
95,I won't have friends and I'll be alone. ,2021-12-07 06:15:15,8,Neutral
96,I am not interesting.,2021-11-30 15:57:16,8,Neutral
97,resentment,2021-11-30 19:37:37,8,Neutral
98,I would feel bad due to the fact that parties re all about enjoying and mingling.And this situation would make me feel unwanted.,2022-02-01 09:00:23,8,Neutral
99,This is just like when I was a kid.,2022-02-25 10:01:18,8,Neutral
100,Maybe I am doing this wrong and I need help to make these diet changes,2022-07-30 21:17:25,8,Neutral
101,"This would open up pandoras box, into back and forth criticizing that might end the relationship itself.",2022-04-19 12:23:30,8,Neutral
102,Talk to my boss about my performance. ,2021-09-22 05:00:25,8,Neutral
103,It would mean that I'm not being productive or working as hard as I should be. It would say that i'm lazy and not a hard worker,2021-11-19 03:01:46,8,Neutral
104,It means I'm a bad employee prospect and not worth anyone's time.,2021-09-24 21:25:52,8,Neutral
105,angry,2021-10-17 19:53:29,8,Neutral
106,Maybe I'm not cut out for college.,2022-03-16 14:37:50,8,Neutral
107,Defend myself and throw an insult his way.,2022-02-12 10:29:50,8,Neutral
108,I don't know what I'll do now to pay my bills. I don't know what job I AM suited for. ,2022-03-17 20:07:23,8,Neutral
109,Get the dang essay done. ,2022-03-04 11:42:31,8,Neutral
110,I am a loser,2022-06-04 04:36:12,8,Neutral
111,I know what I have to do. My boss already reminded me. This reminder is annoying,2021-10-24 11:59:08,8,Neutral
112,It would say I'm thoughtless and selfish. ,2022-07-31 18:48:39,8,Neutral
113,I am incapable of doing anything right.,2022-05-21 18:25:27,8,Neutral
114,I'd fall behind on my bills.,2021-10-20 01:21:35,8,Neutral
115,Probably cancel it altogether,2022-06-15 13:30:47,8,Neutral
116,"I did nothing, other than thinking about what I might say, she has not called.",2021-11-08 09:47:33,8,Neutral
117,Ask him why he is cleaning his computer when I'm trying to have a conversation with him,2022-03-29 22:05:26,8,Neutral
118,sadness,2021-11-22 07:03:17,8,Neutral
119,I'd be professional and kind to the person but be fake friendly to them not their real friend any more.,2021-09-05 03:42:11,8,Neutral
120,Angry,2022-04-18 10:28:15,8,Neutral
121,I gained a pound even though I've been working hard on my new diet.,2022-05-18 16:13:03,8,Neutral
122,I need to improve.,2022-03-06 06:50:17,8,Neutral
123,Try to figure out what it is that i need to improve on and ask myself if this is the right career for me,2022-06-17 04:23:05,8,Neutral
124,frustrated,2022-01-10 14:06:59,8,Neutral
125,"I'm glad that they want to visit but really, not a good time.",2022-07-18 08:09:11,8,Neutral
126,They will say mean hurtful things to me.,2021-10-24 15:45:17,8,Neutral
127,Ask again at another time,2022-03-15 16:21:50,8,Neutral
128,frustrated,2021-12-29 04:14:08,8,Neutral
129,I only know the host of a party. I try to talk to someone but he's not interested.,2022-01-21 06:51:53,8,Neutral
130,My business would go under.,2022-01-30 10:51:05,8,Neutral
131,"Attempt to improve my interpersonal skills, and understanding of the wishes and needs of others.",2022-03-04 07:26:53,8,Neutral
132,I'm a failure.,2022-07-21 13:56:50,8,Neutral
133,"Received my money, paid the fine, got on the plane and went home.",2021-09-28 01:19:01,8,Neutral
134,Something is wrong with me,2021-10-22 03:08:42,8,Neutral
135,Nobody really likes me.,2022-02-21 21:46:35,8,Neutral
136,They would have to go to the hospital.,2022-07-02 12:09:19,8,Neutral
137,Not have angry outburst and try to remain calm and not overreact. ,2022-01-08 08:04:18,8,Neutral
138,nothing,2021-10-01 21:04:21,8,Neutral
139,Being misinterpreted. ,2021-12-12 05:03:45,8,Neutral
140,rejected,2022-05-02 23:47:21,8,Neutral
141,Mad,2021-09-12 04:56:19,8,Neutral
142,Scared,2022-08-13 22:10:52,8,Neutral
143,disappointment,2022-05-15 17:29:07,8,Neutral
144,"Ignore him and do what I was already going to do, namely finish the work. ",2021-11-04 13:54:18,8,Neutral
145,we won't be together anymore. ,2022-05-22 04:44:34,8,Neutral
146,I'm trying to find a job but others are getting hired.,2021-11-06 02:52:49,8,Neutral
147,They don't want to acknowledge me in public.,2022-01-12 23:38:48,8,Neutral
148,Why does he need he think he needs to remind me?,2022-05-15 13:04:10,8,Neutral
149,It's just a little embarrassing when confuse someone or mess up a greeting. ,2022-02-02 13:37:56,8,Neutral
150,disappointed,2022-08-23 06:15:06,8,Neutral
151,I would perform better ,2021-09-30 09:03:52,8,Neutral
152,"If I lose my job, I could fall into severe poverty",2022-05-15 11:19:00,8,Neutral
153,I am stupid and not smart.,2021-11-03 10:07:46,8,Neutral
154,I would be reprimanded for not completing essay task,2021-12-10 08:51:16,8,Neutral
155,anxious,2021-09-05 09:19:47,8,Neutral
156,My acquaintance didn't acknowledge or respond to me after I waved to him,2021-11-01 18:27:36,8,Neutral
157,"I'm going to be unhealthy, sick, and feeble in the future",2021-09-04 22:58:18,8,Neutral
158,I would try to at least talk to them and ask what I've been doing or not doing.,2022-06-23 13:37:29,8,Neutral
159,I might not be able to make friends,2022-08-10 20:17:26,8,Neutral
160,that I was not cut out to be a car salesman,2022-02-16 23:59:12,8,Neutral
161,angry,2021-11-20 05:13:46,8,Neutral
162,I pissed her off,2022-04-19 15:14:04,8,Neutral
163,She would have to go to the vet.,2022-01-29 01:36:44,8,Neutral
164,Depressed,2022-03-28 19:56:29,8,Neutral
165,sadness,2022-05-20 19:03:33,8,Neutral
166,That I am not priotizing my time well.,2022-03-17 01:10:21,8,Neutral
167,I would feel isolated and depressed,2021-10-29 23:57:04,8,Neutral
168,Everything I invested in the relationship would be for nothing,2022-01-17 15:52:43,8,Neutral
169,I will continue being unemployed and not have a lot of money,2021-11-01 14:09:13,8,Neutral
170,Try to get myself together and move on.,2021-10-22 19:46:53,8,Neutral
171,disappointed,2021-10-05 03:30:25,8,Neutral
172,I wouldn't do anything.,2022-07-02 21:26:22,8,Neutral
173,Gotten into an argument with roommate over bad habits.,2022-01-23 10:52:05,8,Neutral
174,I'm not as good a writer as I thought I was,2022-03-11 10:41:47,8,Neutral
175,I'd keep applying for any and every job available.,2021-09-29 12:20:53,8,Neutral
176,I would stop trying to get the acquaintance's attention ,2022-05-08 02:15:32,8,Neutral
177,It would mean that i'm wasting the companies time and resources,2021-10-14 13:50:20,8,Neutral
178,The thought of just feeling bad for my cousins as they lost their mother a couple of years ago.,2022-06-02 20:37:00,8,Neutral
179,I would take a break and calm down and come back to the task later refreshed.,2022-08-12 04:02:58,8,Neutral
180,frustration,2021-10-05 19:31:46,8,Neutral
181,An friend does not return my gester,2022-03-31 03:17:27,8,Neutral
182,angry,2022-01-14 23:21:19,8,Neutral
183,upset,2022-02-23 09:02:17,8,Neutral
184,I invited a coworker out with me,2022-07-03 18:51:26,8,Neutral
185,They didn't value me as a coworker.,2021-11-22 06:59:01,8,Neutral
186,He thinks I am forgetful,2022-07-15 16:59:42,8,Neutral
187,I don't know what I'm doing.,2022-01-15 14:58:51,8,Neutral
188,I wouldn't have another job and would need to quickly find something to pay my bills.,2021-09-25 11:27:36,8,Neutral
189,I would feel bad for myself when I wasted an opportunity.,2022-01-16 12:37:13,8,Neutral
190,I was passed over again for a job,2022-05-15 15:05:14,8,Neutral
191,Indifferent,2021-12-29 05:05:40,8,Neutral
192,"I come home to find my partner has moved out, and doesn't want to try to work things out.",2022-08-25 01:19:22,8,Neutral
193,My sister tried to commit suicide whilst at middle school,2022-07-02 05:11:36,8,Neutral
194,It would bother me that she didn't even feel like we could work it out.,2022-04-27 21:13:34,8,Neutral
195,"I would feel like a failure because I had been fired, regardless of the reasoning behind it. ",2022-07-12 23:02:43,8,Neutral
196,I might have to go into debt if there's another emergency expenditure.,2022-07-25 01:58:19,8,Neutral
197,we don't manage our finances very well,2022-02-12 13:35:17,8,Neutral
198,apologize and find time to visit them,2022-01-28 06:27:46,8,Neutral
199,Even when I'm right he tries to deny it.,2021-10-17 05:52:53,8,Neutral
200,Ask for more training,2022-06-16 20:34:42,8,Neutral
201,I would feel like I failed.,2021-10-26 23:41:21,8,Neutral
202,I am thinking about how I will never see her again,2022-07-30 02:32:12,8,Neutral
203,I'm not doing a good enough job,2022-08-09 09:39:09,8,Neutral
204,A person I know didn't recognize me.,2021-11-13 11:06:39,8,Neutral
205,I would become a hermit.,2022-07-06 02:59:02,8,Neutral
206,Anger,2022-01-17 16:29:55,8,Neutral
207,They didn't want to speak with me.,2022-03-04 21:21:53,8,Neutral
208,I will hate myself,2021-12-03 22:13:25,8,Neutral
209,I disappointing my family by postponing a meeting with them because I'm busy,2021-10-31 06:13:52,8,Neutral
210,Apologize for reacting inapproriately,2022-06-02 09:48:26,8,Neutral
211,Nothing I do is ever good enough.,2022-05-22 07:50:43,8,Neutral
212,I can not find a job.,2022-08-06 22:00:20,8,Neutral
213,I have started an essay and have not been able to make any progress in 2 hours.  ,2022-04-20 18:10:16,8,Neutral
214,"I went to a party where I only knew one person, the one hosting. I tried to chat with other people but it didn't go well and they weren't very responsive. ",2022-04-10 14:38:05,8,Neutral
215,I am desparate for love,2021-09-10 00:29:04,8,Neutral
216,I am incompetent and incapable of keeping a job.,2022-04-19 15:53:29,8,Neutral
217,relieved,2022-08-20 04:15:05,8,Neutral
218,it might say i do not work hard enough,2021-12-07 00:00:10,8,Neutral
219,no,2022-08-11 06:13:04,8,Neutral
220,It would mean that my own priorities are hurtful to others.,2021-10-31 09:57:59,8,Neutral
221,Blaming myself for not being good enough,2021-12-01 11:50:43,8,Neutral
222,I could lose the respect of my coworkers ,2021-10-25 18:13:21,8,Neutral
223,I'm alone in a large group.,2021-12-06 03:04:42,8,Neutral
224,irritated,2022-04-15 12:02:56,8,Neutral
225,"If I don't get it done, I will let others down and be disappointed in myself.",2022-03-21 01:04:36,8,Neutral
226,I won't be successful.,2022-05-02 17:44:59,8,Neutral
227,angry,2022-03-14 05:02:17,8,Neutral
228,annoyed,2021-12-14 04:40:13,8,Neutral
229,I won't have as many friends and people won't like me.,2022-01-19 09:14:58,8,Neutral
230,It would mean nobody wants to be around me.,2022-05-13 08:23:13,8,Neutral
231,I will be alone,2022-01-27 00:48:01,8,Neutral
232,"My mother berated me for not calling her in the past month. She was confused, and had forgotten I called her a week prior.",2022-04-01 11:26:35,8,Neutral
233,I forgot to order products for the store I work at that are selling very well.,2022-01-07 08:46:25,8,Neutral
234,Irritated,2021-11-16 08:57:01,8,Neutral
235,It would mean that I missed a good opportunity.,2022-05-17 12:56:48,8,Neutral
236,That I will never get to experience the many things that I want to during my life (due to monetary restrictions).,2022-03-20 12:57:31,8,Neutral
237,My family is upset because I delayed their visit.,2021-12-31 03:52:52,8,Neutral
238,They didn't believe in me enough to train and help me like they should have.,2022-07-05 12:25:09,8,Neutral
239,There are lots of things we need to finish today,2022-07-11 08:14:53,8,Neutral
240,I'm a loser,2022-01-11 12:56:17,8,Neutral
241,We will end up fighting.,2022-02-28 14:40:54,8,Neutral
242,I could loose friends or acquaintances.,2022-02-04 22:08:30,8,Neutral
243,My spouse / lover has left me a note saying she is leaving me,2022-05-31 11:03:21,8,Neutral
244,I see someone I like across the street. I wave but they ignore me.,2022-07-23 05:45:32,8,Neutral
245,Regret,2022-05-25 22:49:50,8,Neutral
246,I will have no room for promotion,2022-01-24 08:35:01,8,Neutral
247,"Investigate the details of the diet and see how it affects the body, at the molecular level.",2022-06-12 17:36:04,8,Neutral
248,To avoid this company in the future.,2021-11-02 03:36:33,8,Neutral
249,Because I worked hard to avoid this situation,2022-04-10 00:17:58,8,Neutral
250,I tried multiple diets and I didn't succeed to lose weight. I gain one pound with the lastest diet,2021-12-16 03:18:34,8,Neutral
251,i enjoy spending time with them,2021-11-19 09:45:55,8,Neutral
252,I will have to move in with my mother.,2022-01-26 21:38:04,8,Neutral
253,my family and works are my two eyes.,2021-09-20 16:34:06,8,Neutral
254,embarrassed ,2022-06-18 11:35:21,8,Neutral
255,Disappointed,2022-04-03 15:03:45,8,Neutral
256,I would make sure to thank her.,2022-03-27 12:26:35,8,Neutral
257,Find other ways to stimulate my brain so the creativity naturally happens.,2022-06-19 17:01:07,8,Neutral
258,Keep dieting for another week and check again.,2022-02-02 22:38:20,8,Neutral
259,My coworker doesn't like me,2021-09-28 22:04:28,8,Neutral
260,"Your friend bought a ticket to go to a concert in another state. She asked if you would purchase a ticket too, which caused you to snappily tell her that you cannot afford it because of responsibilities unlike her.",2021-11-21 16:02:01,8,Neutral
261,sadness,2021-09-20 20:25:32,8,Neutral
262,Hopeless,2022-02-22 05:22:41,8,Neutral
263,Rearrange my schedule. ,2022-05-11 13:32:53,8,Neutral
264,I won't be able to attract a mate I want.,2021-11-20 01:26:05,8,Neutral
265,it was our fault that the policy lapsed,2021-12-21 03:02:10,8,Neutral
266,frustrated,2022-01-12 22:40:13,8,Neutral
267,I think it would be a bad way to continue with the diet again.,2022-03-08 10:18:25,8,Neutral
268,You are a selfish ass to have done this to me,2022-01-31 11:10:32,8,Neutral
269,"Once again, this is a scenario I can't really control.  I did my best, and whether the other person liked it or not is up to them.  Since I'm rather introverted anyway, I wouldn't be randomly talking with people at a party.  The way it was described seems the most awkward.  People are having fun around you and you walk up to someone with something you have no idea if they'd be interested in.  Someone like me would scope out people and their personalities prior or wait for an opportunity to fit my way into the conversation.  If I only did know my friend as well, chances are I'd hang with him when possible and he'd help me meet up with people.",2021-11-23 11:50:04,8,Neutral
270,I must not be good at persuading people.,2021-11-22 11:08:19,8,Neutral
271,Try to concentrate and think of something to write.,2022-07-28 00:47:28,8,Neutral
272,I should have listened more to what he had to say and tried to be better,2021-11-14 21:33:00,8,Neutral
273,The position is filled before I have a chance.,2022-01-28 21:28:29,8,Neutral
274,anger,2022-05-02 11:14:17,8,Neutral
275,Get right back to work on the items due.,2022-05-28 21:42:49,8,Neutral
276,I have to use my time again to repair the damage caused,2021-12-31 17:07:50,8,Neutral
277,I would ask why everyone left without saying anything.,2022-06-08 07:38:22,8,Neutral
278,"Significant other is leaving me, cleaned all of their belongings out of the house.",2022-05-26 09:37:25,8,Neutral
279,He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,2021-12-27 00:35:44,8,Neutral
280,Move on or try to,2022-05-01 11:00:09,8,Neutral
281,"I really have to pass, I need to work.",2022-05-06 03:48:56,8,Neutral
282,My boss reminded me of some work I had to finish up. ,2021-09-15 04:33:37,8,Neutral
283,I'd show more signs of not wanting to do anything purely out of fear.,2021-09-09 02:04:23,8,Neutral
284,I think being rejected is always a blow to my pride and I don't like the way it makes me feel.,2022-07-12 04:16:53,8,Neutral
285,It would mean I was having to work I was not paid for and this would panic me because I cannot afford to do that. ,2022-05-08 01:03:01,8,Neutral
286,I am unable to land the jobs that I put in for.,2022-01-25 17:15:20,8,Neutral
287,My salary will not be increased next year.,2022-03-18 06:48:26,8,Neutral
288,Did I do something wrong?,2021-10-22 14:50:22,8,Neutral
289,worried,2022-06-09 03:45:11,8,Neutral
290,I was dog sitting for my sister. The dog ate xylitol and it could cause damage to the dog. I quickly called the vet and had to make the dog throw up. Blood tests indicate that the dog will be fine. ,2022-08-05 07:02:04,8,Neutral
291,I could lose my house and end up homeless. ,2021-10-20 23:16:35,8,Neutral
292,i am not intelligent enough to do this task,2021-12-28 16:03:21,8,Neutral
