id,data,date,user_id,sentiment_class,Negative,Neutral,Positive
90,I would need to readjust my marketability,2022-03-25 16:59:13,8,Neutral,0.55556387,0.3959539,0.0484822
91,My job applications have been rejected for a third time this week.,2021-10-13 07:28:43,8,Neutral,0.5813285,0.382689,0.035982527
92,It would ruin my gpa.,2022-04-08 04:53:06,8,Neutral,0.9659543,0.0320407,0.002005015
93,worry ,2022-08-20 14:32:48,8,Neutral,0.5847825,0.39668164,0.018535968
94,I am fond of coworker who i asked to go out with and he/she said s/he was too busy,2022-07-09 00:44:12,8,Neutral,0.95707256,0.038075995,0.0048514055
95,I won't have friends and I'll be alone. ,2021-12-07 06:15:15,8,Neutral,0.24356443,0.6971186,0.059316956
96,I am not interesting.,2021-11-30 15:57:16,8,Neutral,0.708589,0.2798311,0.011579909
97,resentment,2021-11-30 19:37:37,8,Neutral,0.3162734,0.6289932,0.05473341
98,I would feel bad due to the fact that parties re all about enjoying and mingling.And this situation would make me feel unwanted.,2022-02-01 09:00:23,8,Neutral,0.83804595,0.15529625,0.006657832
99,This is just like when I was a kid.,2022-02-25 10:01:18,8,Neutral,0.9155901,0.07838123,0.00602874
100,Maybe I am doing this wrong and I need help to make these diet changes,2022-07-30 21:17:25,8,Neutral,0.28213674,0.6458525,0.07201083
101,"This would open up pandoras box, into back and forth criticizing that might end the relationship itself.",2022-04-19 12:23:30,8,Neutral,0.90831345,0.088164754,0.0035217775
102,Talk to my boss about my performance. ,2021-09-22 05:00:25,8,Neutral,0.5749038,0.40699843,0.018097835
103,It would mean that I'm not being productive or working as hard as I should be. It would say that i'm lazy and not a hard worker,2021-11-19 03:01:46,8,Neutral,0.95993525,0.037916455,0.0021483807
104,It means I'm a bad employee prospect and not worth anyone's time.,2021-09-24 21:25:52,8,Neutral,0.07525974,0.6178371,0.3069032
105,angry,2021-10-17 19:53:29,8,Neutral,0.954546,0.043080892,0.002373113
106,Maybe I'm not cut out for college.,2022-03-16 14:37:50,8,Neutral,0.7912007,0.1975869,0.011212353
107,Defend myself and throw an insult his way.,2022-02-12 10:29:50,8,Neutral,0.19848959,0.765797,0.035713404
108,I don't know what I'll do now to pay my bills. I don't know what job I AM suited for. ,2022-03-17 20:07:23,8,Neutral,0.36147454,0.56557673,0.07294872
109,Get the dang essay done. ,2022-03-04 11:42:31,8,Neutral,0.10107993,0.33529145,0.5636286
110,I am a loser,2022-06-04 04:36:12,8,Neutral,0.9091579,0.084198125,0.00664399
111,I know what I have to do. My boss already reminded me. This reminder is annoying,2021-10-24 11:59:08,8,Neutral,0.7658094,0.194679,0.039511666
112,It would say I'm thoughtless and selfish. ,2022-07-31 18:48:39,8,Neutral,0.63131154,0.35141763,0.017270835
113,I am incapable of doing anything right.,2022-05-21 18:25:27,8,Neutral,0.6923304,0.27053276,0.03713676
114,I'd fall behind on my bills.,2021-10-20 01:21:35,8,Neutral,0.6689703,0.31624317,0.014786549
115,Probably cancel it altogether,2022-06-15 13:30:47,8,Neutral,0.5021843,0.47253847,0.025277259
116,"I did nothing, other than thinking about what I might say, she has not called.",2021-11-08 09:47:33,8,Neutral,0.903672,0.08800281,0.00832519
117,Ask him why he is cleaning his computer when I'm trying to have a conversation with him,2022-03-29 22:05:26,8,Neutral,0.80337656,0.17304307,0.023580408
118,sadness,2021-11-22 07:03:17,8,Neutral,0.8385973,0.14692146,0.014481248
119,I'd be professional and kind to the person but be fake friendly to them not their real friend any more.,2021-09-05 03:42:11,8,Neutral,0.88369805,0.111885,0.0044168974
120,Angry,2022-04-18 10:28:15,8,Neutral,0.7230396,0.26493293,0.012027439
121,I gained a pound even though I've been working hard on my new diet.,2022-05-18 16:13:03,8,Neutral,0.9025111,0.08956792,0.007920982
122,I need to improve.,2022-03-06 06:50:17,8,Neutral,0.90005076,0.092428416,0.0075208
123,Try to figure out what it is that i need to improve on and ask myself if this is the right career for me,2022-06-17 04:23:05,8,Neutral,0.84089315,0.14086384,0.01824299
124,frustrated,2022-01-10 14:06:59,8,Neutral,0.77359766,0.20160803,0.02479438
125,"I'm glad that they want to visit but really, not a good time.",2022-07-18 08:09:11,8,Neutral,0.9393884,0.056876812,0.0037347889
126,They will say mean hurtful things to me.,2021-10-24 15:45:17,8,Neutral,0.950019,0.044757724,0.0052232556
127,Ask again at another time,2022-03-15 16:21:50,8,Neutral,0.95780045,0.037207924,0.004991656
128,frustrated,2021-12-29 04:14:08,8,Neutral,0.48913342,0.4880906,0.022775969
129,I only know the host of a party. I try to talk to someone but he's not interested.,2022-01-21 06:51:53,8,Neutral,0.96253324,0.03311655,0.004350248
130,My business would go under.,2022-01-30 10:51:05,8,Neutral,0.2592386,0.60901016,0.13175127
131,"Attempt to improve my interpersonal skills, and understanding of the wishes and needs of others.",2022-03-04 07:26:53,8,Neutral,0.77359766,0.20160803,0.02479438
132,I'm a failure.,2022-07-21 13:56:50,8,Neutral,0.92735916,0.06815206,0.0044887993
133,"Received my money, paid the fine, got on the plane and went home.",2021-09-28 01:19:01,8,Neutral,0.9122641,0.080362275,0.007373627
134,Something is wrong with me,2021-10-22 03:08:42,8,Neutral,0.933475,0.06354989,0.0029750513
135,Nobody really likes me.,2022-02-21 21:46:35,8,Neutral,0.28451878,0.65194184,0.06353936
