Participant.ID;Scenario;Task;Reply;UttEnum;Depth;Attach;Comp;Global;Health;Control;MetaCog;Others;Hopeless;OthViews;OtherNeg;NC;Exclude
10126;Dieting;AT;I didn't do very well at dieting.;1;1;0;3;0;2;0;0;0;0;0;0;0;0
10126;Dieting;P1;That I don't have enough willpower.;2;2;0;0;3;0;0;0;0;0;0;0;0;0
10126;Dieting;DAT;That I can't lose weight.;3;3;0;0;0;3;1;0;0;0;0;0;0;0
10126;Dieting;DAT;That i'll always be fat and unhealthy;4;4;0;0;0;3;0;0;0;2;0;0;0;0
10126;Dieting;Scen;I've been dieting but still gained a pound.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Dieting;Im;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Dieting;Emo;disappointed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Dieting;EmoInt;91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Dieting;EmoCat;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Dieting;Beh;I would try eat better and change my workout or workout more.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Essay;AT;That I'll never get this assignment done.;5;1;0;2;0;0;0;0;0;1;0;0;0;0
10126;Essay;P1;That I might lose my job;6;2;0;3;0;0;0;0;0;1;0;0;0;0
10126;Essay;DAT;That I can't pay my bills;7;3;0;3;0;0;0;0;0;0;0;0;0;0
10126;Essay;DAT;That I'll lose my house;8;4;0;3;0;0;0;0;0;1;0;0;0;0
10126;Essay;Scen;I've haven't been able to think of anything to write for the past 2 hours.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Essay;Im;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Essay;Emo;frustrated;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Essay;EmoInt;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10126;Essay;EmoCat;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
